# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	313
#@/user_id	vito-macbook
ran hou 	然後	c=1 d=0.594521 t=313
ren wu 	任務	c=2 d=1.42843 t=313
ru he 	如何	c=5 d=2.92221 t=313
ruan jian 	軟件	c=1 d=0.752014 t=313
shang 	上	c=1 d=0.869358 t=313
she ding 	設定	c=2 d=1.60144 t=313
she zhi 	設置	c=2 d=1.12039 t=313
shen du 	深度	c=0 d=0.099005 t=313
shen du xue xi 	深度學習	c=1 d=0.995012 t=313
shen me 	什麼	c=2 d=0.985992 t=313
shen qing 	申請	c=1 d=0.946485 t=313
shi 	是	c=4 d=2.211 t=313
shi fou 	是否	c=1 d=0.852144 t=313
shi jian 	实践	c=2 d=1.81873 t=313
shi jian 	時間	c=0 d=0.099005 t=313
shi xi 	实习	c=1 d=0.923116 t=313
shi xiong 	師兄	c=2 d=0.962897 t=313
shi yan 	實驗	c=1 d=0.946485 t=313
shi yong 	使用	c=3 d=1.65105 t=313
shi you 	是有	c=1 d=0.704688 t=313
shi zhan 	實戰	c=1 d=1 t=313
shu ju 	數據	c=5 d=3.41798 t=313
shu ju ku 	數據庫	c=2 d=1.65128 t=313
shu ru fa 	輸入法	c=0 d=0.0752014 t=313
shu xing 	屬性	c=2 d=1.58514 t=313
shua dan 	刷单	c=1 d=0.869358 t=313
shuang ta 	雙塔	c=1 d=0.900325 t=313
sou su 	搜素	c=1 d=0.839457 t=313
su cai 	素材	c=1 d=0.831104 t=313
ti ji 	體積	c=1 d=0.786628 t=313
ti jiao 	提交	c=2 d=1.50797 t=313
tian xie 	添寫	c=1 d=0.603506 t=313
tong bu 	同步	c=6 d=3.37739 t=313
tong guo 	通过	c=1 d=0.951229 t=313
tu 	途	c=1 d=0.960789 t=313
wei 	为	c=2 d=1.40214 t=313
wen jian 	文件	c=4 d=2.34225 t=313
wen jian 	文鑒	c=1 d=0.802519 t=313
wen jian jia 	文件夾	c=3 d=2.46036 t=313
xia 	下	c=1 d=0.860708 t=313
xia de 	下的	c=1 d=0.798516 t=313
xia lai 	下来	c=1 d=0.913931 t=313
